name	type	primary	secondary	equipment	mechanics	level	force
Dumbbell Clean	Strength	Hamstrings	"Calves,Forearms,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Dumbbell	Compound	Intermediate	Pull
Dumbbell Clean And Jerk	Strength	Shoulders	"Calves,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps,Triceps"	Dumbbell	Compound	Expert	Push
Dumbbell Floor Press	Powerlifting	Triceps	"Chest,Shoulders"	Dumbbell	Compound	Intermediate	Push
Dumbbell Flyes	Strength	Chest	N/A	Dumbbell	Isolation	Beginner	Push
Dumbbell Front Squat	Strength	Quadriceps	"Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dumbbell Goblet Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dumbbell Incline Row	Strength	MiddleBack	"Biceps,Forearms,Lats,Shoulders"	Dumbbell	Compound	Beginner	Pull
Dumbbell Incline Shoulder Raise	Strength	Shoulders	Triceps	Dumbbell	Isolation	Beginner	Push
Dumbbell Jump Squat	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dumbbell Lunge and Curl	Strength	Quadriceps	"Biceps,Calves,Glutes,Hamstrings"	Dumbbell	Compound	Intermediate	Push
Dumbbell Lunges	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dumbbell Lying One-Arm Rear Lateral Raise	Strength	Shoulders	MiddleBack	Dumbbell	Isolation	Intermediate	Pull
Dumbbell Lying Pronation	Strength	Forearms	N/A	Dumbbell	Isolation	Intermediate	Pull
Dumbbell Lying Rear Lateral Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Intermediate	Pull
Dumbbell Lying Supination	Strength	Forearms	N/A	Dumbbell	Isolation	Intermediate	Pull
Dumbbell One-Arm Shoulder Press	Strength	Shoulders	Triceps	Dumbbell	Compound	Intermediate	Push
Dumbbell One-Arm Triceps Extension	Strength	Triceps	N/A	Dumbbell	Isolation	Intermediate	Push
Dumbbell One-Arm Upright Row	Strength	Shoulders	"Biceps,Traps"	Dumbbell	Compound	Intermediate	Pull
Dumbbell Overhead Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack,Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Push
Dumbbell Prone Incline Curl	Strength	Biceps	N/A	Dumbbell	Isolation	Intermediate	Pull
Dumbbell Raise	Strength	Shoulders	Biceps	Dumbbell	Compound	Beginner	Pull
Dumbbell Rear Delt Row	Strength	Shoulders	"Biceps,Lats,MiddleBack"	Dumbbell	Compound	Beginner	Pull
Dumbbell Rear Lunge	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Intermediate	Push
Dumbbell Scaption	Strength	Shoulders	Traps	Dumbbell	Isolation	Beginner	Push
Dumbbell Seated Box Jump	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Intermediate	Push
Dumbbell Seated One-Leg Calf Raise	Strength	Calves	N/A	Dumbbell	Isolation	Beginner	Push
Dumbbell Shoulder Press	Strength	Shoulders	Triceps	Dumbbell	Compound	Intermediate	Push
Dumbbell Shrug	Strength	Traps	N/A	Dumbbell	Isolation	Beginner	Pull
Dumbbell Side Bend	Strength	Abdominals	N/A	Dumbbell	Isolation	Beginner	Pull
Dumbbell Side Lunge	Strength	Quadriceps	"Adductors,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dumbbell Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Dumbbell	Compound	Beginner	Push
Dumbbell Squat To A Bench	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Dumbbell	Compound	Intermediate	Push
Dumbbell Squat To Shoulder Press	Strength	Shoulders	"Glutes,Hamstrings,Quadriceps,Traps"	Dumbbell	Compound	Intermediate	Push
Dumbbell Step Ups	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Intermediate	Push
Dumbbell Tricep Extension -Pronated Grip	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
Dumbbell V-Sit Cross Jab	Strength	Abdominals	"Lats,MiddleBack,Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Push
Dumbbell Walking Lunge	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dynamic Back Stretch	Stretching	Lats	N/A	None	N/A	Beginner	Pull
Dynamic Chest Stretch	Stretching	Chest	MiddleBack	None	N/A	Beginner	Pull
Elbow Circles	Stretching	Shoulders	Traps	None	Isolation	Beginner	Pull
Elbow to Knee	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Elbows Back	Stretching	Chest	Shoulders	None	Isolation	Beginner	Static
Elevated Back Lunge	Strength	Quadriceps	"Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Elevated Cable Rows	Strength	Lats	"MiddleBack,Traps"	Cable	Compound	Intermediate	Pull
Elliptical Trainer	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	N/A	Intermediate	N/A
Exercise Ball Crunch	Strength	Abdominals	N/A	Exercise Ball	Isolation	Beginner	Pull
Exercise Ball Pull-In	Strength	Abdominals	N/A	Exercise Ball	Compound	Beginner	Pull
Extended Range One-Arm Kettlebell Floor Press	Strength	Chest	"Shoulders,Triceps"	Kettlebells	Compound	Beginner	Push
External Rotation	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Pull
External Rotation with Band	Strength	Shoulders	N/A	Bands	Compound	Beginner	Pull
External Rotation with Cable	Strength	Shoulders	N/A	Cable	Isolation	Beginner	Pull
EZ-Bar Curl	Strength	Biceps	N/A	E-Z Curl Bar	Isolation	Beginner	Pull
EZ-Bar Skullcrusher	Strength	Triceps	Forearms	E-Z Curl Bar	Isolation	Beginner	Push
Face Pull	Strength	Shoulders	MiddleBack	Cable	Compound	Intermediate	Pull
Farmer's Walk	Strongman	Forearms	"Abdominals,Glutes,Hamstrings,LowerBack,Quadriceps,Traps"	Other	Compound	Intermediate	N/A
Fast Kick With Arm Circles	Cardio	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders"	None	Compound	Beginner	N/A
Fast Skipping	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Feet Jack	Plyometrics	Quadriceps	Calves	None	Compound	Beginner	N/A
Finger Curls	Strength	Forearms	N/A	Barbell	Isolation	Beginner	Pull
Fire Hydrant	Strength	Abductors	Glutes	None	Isolation	Beginner	Push
Flat Bench Cable Flyes	Strength	Chest	N/A	Cable	Isolation	Intermediate	Push
Flat Bench Leg Pull-In	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Flat Bench Lying Leg Raise	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Flexor Incline Dumbbell Curls	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Floor Glute-Ham Raise	Strength	Hamstrings	"Calves,Glutes"	None	Isolation	Intermediate	Pull
Floor Press	Powerlifting	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
Floor Press with Chains	Powerlifting	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
Flutter Kicks	Strength	Glutes	Hamstrings	None	Compound	Beginner	Pull
Foot-SMR	Stretching	Calves	N/A	Other	N/A	Intermediate	Static
Football Up-Down	Cardio	Quadriceps	"Calves,Chest,Hamstrings,Shoulders,Triceps"	None	Compound	Intermediate	N/A
Forward Band Walk	Strength	Quadriceps	"Glutes,Hamstrings"	Bands	Compound	Beginner	Push
Forward Drag with Press	Strongman	Chest	"Calves,Glutes,Hamstrings,Quadriceps,Shoulders,Triceps"	Other	Compound	Intermediate	Push
Frankenstein Squat	OlympicWeightlifting	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Freehand Jump Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Frog Hops	Stretching	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Frog Sit-Ups	Strength	Abdominals	N/A	None	Isolation	Intermediate	Pull
Front Barbell Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Expert	Push
Front Barbell Squat To A Bench	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Expert	Push
Front Box Jump	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Quadriceps"	Other	Compound	Beginner	Push
Front Cable Raise	Strength	Shoulders	N/A	Cable	Isolation	Beginner	Push
Front Cone Hops (or hurdle hops)	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Front Dumbbell Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Front Dumbbell Raise Using Towel	Strength	Shoulders	Traps	Dumbbell	Isolation	Beginner	Push
Front Incline Dumbbell Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Front Leg Raises	Stretching	Hamstrings	N/A	None	N/A	Beginner	Pull
Front Plate Raise	Strength	Shoulders	N/A	Other	Isolation	Intermediate	Push
Front Raise And Pullover	Strength	Chest	"Lats,Shoulders,Triceps"	Barbell	Compound	Beginner	Pull
Front Squat (Bodybuilder)	Strength	Quadriceps	"Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Front Squat (Clean Grip)	Strength	Quadriceps	"Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Front Squat Push Press	Strength	Quadriceps	"Abdominals,MiddleBack,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Push
Front Squats With Two Kettlebells	Strength	Quadriceps	"Calves,Glutes"	Kettlebells	Compound	Intermediate	Push
Front Two-Dumbbell Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Front-To-Back Squat With Belt	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Full Range-Of-Motion Lat Pulldown	Strength	Lats	"Biceps,MiddleBack,Shoulders"	Cable	Compound	Intermediate	Pull
Gironda Sternum Chins	Strength	Lats	"Biceps,MiddleBack"	Other	Compound	Intermediate	Pull
Glute Bridge Hamstring Walkout	Strength	Glutes	Hamstrings	None	Isolation	Beginner	Push
Glute Ham Raise	Powerlifting	Hamstrings	"Calves,Glutes"	Machine	Compound	Intermediate	Pull
Glute Kickback	Strength	Glutes	Hamstrings	None	Compound	Beginner	Push
Goblet Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders"	Kettlebells	Compound	Beginner	Push
Good Morning	Powerlifting	Hamstrings	"Abdominals,Glutes,LowerBack"	Barbell	Compound	Intermediate	Push
Good Morning off Pins	Powerlifting	Hamstrings	"Abdominals,Glutes,LowerBack"	Barbell	Compound	Intermediate	Push
Gorilla Chin/Crunch	Strength	Abdominals	"Biceps,Lats"	None	Compound	Intermediate	Pull
Groin and Back Stretch	Stretching	Adductors	N/A	None	Compound	Intermediate	Static
Groiners	Stretching	Adductors	N/A	None	Compound	Intermediate	Pull
Hack Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Beginner	Push
Half-kneeling Dumbbell Shoulder Press	Strength	Shoulders	Triceps	Dumbbell	Compound	Intermediate	Push
Hammer Curls	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Hammer Grip Incline DB Bench Press	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Hamstring Stretch	Stretching	Hamstrings	N/A	None	Isolation	Beginner	Static
Hamstring-SMR	Stretching	Hamstrings	N/A	Foam Roll	Isolation	Beginner	Static
Hand Release Push-Up	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
Hand Stand Push-Up	Strength	Shoulders	"Abdominals,Triceps"	None	Compound	Expert	Push
Handstand Push-Ups	Strength	Shoulders	Triceps	None	Compound	Expert	Push
Hang Clean	OlympicWeightlifting	Quadriceps	"Calves,Forearms,Glutes,Hamstrings,LowerBack,Shoulders,Traps"	Barbell	Compound	Intermediate	Pull
Hang Clean - Below the Knees	OlympicWeightlifting	Quadriceps	"Calves,Forearms,Glutes,Hamstrings,LowerBack,Shoulders,Traps"	Barbell	Compound	Intermediate	Pull
Hang Snatch	OlympicWeightlifting	Hamstrings	"Abdominals,Calves,Forearms,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Barbell	Compound	Expert	Pull
Hang Snatch - Below Knees	OlympicWeightlifting	Hamstrings	"Abdominals,Calves,Forearms,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Barbell	Compound	Expert	Pull
Hanging Bar Good Morning	Powerlifting	Hamstrings	"Abdominals,Glutes,LowerBack"	Barbell	Compound	Intermediate	Push
Hanging Leg Raise	Strength	Abdominals	N/A	None	Isolation	Expert	Pull
Hanging Oblique Knee Raise	Strength	Abdominals	N/A	None	Isolation	Expert	Pull
Hanging Pike	Strength	Abdominals	N/A	None	Compound	Expert	Pull
Heaving Snatch Balance	OlympicWeightlifting	Quadriceps	"Abdominals,Forearms,Glutes,Hamstrings,Shoulders,Triceps"	Barbell	Compound	Intermediate	Push
Heavy Bag Thrust	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Other	Compound	Beginner	Push
High Cable Curls	Strength	Biceps	N/A	Cable	Compound	Intermediate	Pull
High Kick	Stretching	Hamstrings	N/A	None	Compound	Beginner	N/A
High Knee Jog	Cardio	Quadriceps	"Calves,Hamstrings"	None	N/A	Intermediate	Push
Hip Circle	Stretching	Abductors	Adductors	None	Compound	Beginner	N/A
Hip Circles (prone)	Stretching	Abductors	Adductors	None	Isolation	Beginner	Pull
Hip Crossover	Stretching	Abductors	N/A	None	Compound	Beginner	Pull
Hip Extension with Bands	Strength	Glutes	Hamstrings	Bands	Compound	Beginner	Push
Hip Flexion with Band	Strength	Quadriceps	N/A	Bands	Compound	Beginner	Pull
Hip Lift with Band	Powerlifting	Glutes	"Calves,Hamstrings"	Bands	Compound	Beginner	Push
Hip Stretch With Twist	Stretching	Hamstrings	"Abdominals,Chest,Quadriceps"	None	Compound	Beginner	N/A
Hug A Ball	Stretching	LowerBack	"Calves,Glutes"	Exercise Ball	Isolation	Beginner	Static
Hug Knees To Chest	Stretching	LowerBack	Glutes	None	N/A	Beginner	Static
Hurdle Hops	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Hyperextensions (Back Extensions)	Strength	LowerBack	"Glutes,Hamstrings"	Other	Isolation	Beginner	Pull
Hyperextensions With No Hyperextension Bench	Strength	LowerBack	"Glutes,Hamstrings"	None	Compound	Intermediate	Pull
Ice Skater	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Iliotibial Tract-SMR	Stretching	Abductors	N/A	Foam Roll	Isolation	Intermediate	Static
Inchworm	Stretching	Hamstrings	N/A	None	Compound	Beginner	N/A
Incline Barbell Triceps Extension	Strength	Triceps	Forearms	Barbell	Isolation	Intermediate	Push
Incline Bench Pull	Strength	MiddleBack	"Lats,Shoulders"	Barbell	Isolation	Beginner	Pull
Incline Cable Chest Press	Strength	Chest	"Shoulders,Triceps"	Cable	Compound	Beginner	Push
Incline Cable Flye	Strength	Chest	Shoulders	Cable	Isolation	Intermediate	Push
Incline Dumbbell Bench With Palms Facing In	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Incline Dumbbell Curl	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Incline Dumbbell Flyes	Strength	Chest	Shoulders	Dumbbell	Compound	Beginner	Push
Incline Dumbbell Flyes - With A Twist	Strength	Chest	Shoulders	Dumbbell	Compound	Beginner	Push
Incline Dumbbell Press	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Incline Dumbbell Press Reverse-Grip	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Push
Incline Hammer Curls	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Incline Inner Biceps Curl	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	N/A
Incline Push-Up	Strength	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Incline Push-Up Close-Grip	Strength	Triceps	"Chest,Shoulders"	None	Compound	Beginner	Push
Incline Push-Up Depth Jump	Plyometrics	Chest	"Shoulders,Triceps"	Other	Compound	Beginner	Push
Incline Push-Up Medium	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
Incline Push-Up Reverse Grip	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
Incline Push-Up Wide	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
Intermediate Groin Stretch	Stretching	Hamstrings	N/A	Other	Isolation	Intermediate	Static
Intermediate Hip Flexor and Quad Stretch	Stretching	Quadriceps	N/A	Other	Compound	Intermediate	Static
Internal Rotation with Band	Strength	Shoulders	N/A	Bands	Isolation	Beginner	N/A
Inverted Row	Strength	MiddleBack	Lats	None	Compound	Beginner	Pull
Inverted Row with Straps	Strength	MiddleBack	"Biceps,Lats"	Other	Compound	Beginner	Pull
Iron Cross	Strength	Shoulders	"Chest,Glutes,Hamstrings,LowerBack,Quadriceps,Traps"	Dumbbell	Compound	Intermediate	Push
Iron Crosses (stretch)	Stretching	Quadriceps	N/A	None	Compound	Intermediate	Pull
Isometric Chest Squeezes	Plyometrics	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Static
Isometric Neck Exercise - Front And Back	Strength	Neck	N/A	None	Isolation	Beginner	Static
Isometric Neck Exercise - Sides	Strength	Neck	N/A	None	Isolation	Beginner	Static
Isometric Wipers	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
IT Band and Glute Stretch	Stretching	Abductors	N/A	Other	N/A	Intermediate	Static
Jackknife Sit-Up	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Janda Sit-Up	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Jefferson Squats	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack,Traps"	Barbell	Compound	Intermediate	Push
Jerk Balance	OlympicWeightlifting	Shoulders	"Glutes,Hamstrings,Quadriceps,Triceps"	Barbell	Compound	Intermediate	Push
Jerk Dip Squat	OlympicWeightlifting	Quadriceps	"Abdominals,Calves"	Barbell	Compound	Intermediate	Push
JM Press	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Beginner	Push
JM Press With Bands	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
Jog In Place	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	N/A
Jogging-Treadmill	Cardio	Quadriceps	"Glutes,Hamstrings"	Machine	N/A	Beginner	N/A
Jump Lunge To Feet Jack	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Jump Squat	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Jumping Jacks	Plyometrics	Quadriceps	"Calves,Shoulders"	None	Compound	Beginner	N/A
Keg Load	Strongman	LowerBack	"Abdominals,Biceps,Calves,Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Shoulders,Traps"	Other	Compound	Intermediate	Pull
Kettlebell Arnold Press	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
Kettlebell Curtsy Lunge	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Kettlebells	Compound	Beginner	Push
Kettlebell Dead Clean	Strength	Hamstrings	"Calves,Glutes,LowerBack,Quadriceps,Traps"	Kettlebells	Compound	Intermediate	Pull
Kettlebell Figure 8	Strength	Abdominals	"Hamstrings,Shoulders"	Kettlebells	N/A	Intermediate	Pull
Kettlebell Hang Clean	Strength	Hamstrings	"Calves,Glutes,LowerBack,Shoulders,Traps"	Kettlebells	Compound	Intermediate	Pull
Kettlebell One-Legged Deadlift	Strength	Hamstrings	"Glutes,LowerBack"	Kettlebells	Compound	Intermediate	Pull
Kettlebell Pass Between The Legs	Strength	Abdominals	"Glutes,Hamstrings,Shoulders"	Kettlebells	Compound	Intermediate	Pull
Kettlebell Pirate Ships	Strength	Shoulders	Abdominals	Kettlebells	Compound	Beginner	Push
Kettlebell Pistol Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders"	Kettlebells	Compound	Expert	Push
Kettlebell Seated Press	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
Kettlebell Seesaw Press	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
Kettlebell Sumo High Pull	Strength	Traps	"Adductors,Glutes,Hamstrings,Quadriceps,Shoulders"	Kettlebells	Compound	Intermediate	Pull
Kettlebell Sumo Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Kettlebells	Compound	Intermediate	Push
Kettlebell Thruster	Strength	Shoulders	"Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Kettlebell Turkish Get-Up (Lunge style)	Strength	Shoulders	"Abdominals,Hamstrings,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Kettlebell Turkish Get-Up (Squat style)	Strength	Shoulders	"Abdominals,Calves,Hamstrings,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Kettlebell Windmill	Strength	Abdominals	"Glutes,Hamstrings,Shoulders,Triceps"	Kettlebells	Compound	Intermediate	Pull
Kipping Muscle Up	Strength	Lats	"Abdominals,Biceps,Forearms,MiddleBack,Shoulders,Traps,Triceps"	Other	Compound	Intermediate	Pull
Knee Across The Body	Stretching	Glutes	"Abductors,LowerBack"	None	N/A	Beginner	Static
Knee Circles	Stretching	Calves	"Hamstrings,Quadriceps"	None	Compound	Beginner	Pull
Knee To Chest	Stretching	Hamstrings	Glutes	None	Compound	Beginner	Pull
Knee Tuck Jump	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Quadriceps"	None	Compound	Beginner	Push
Knee/Hip Raise On Parallel Bars	Strength	Abdominals	N/A	Other	Isolation	Beginner	Pull
Kneeling Arm Drill	Plyometrics	Shoulders	Abdominals	None	N/A	Beginner	Pull
Kneeling Cable Crunch With Alternating Oblique Twists	Strength	Abdominals	N/A	Cable	Isolation	Beginner	Pull
Kneeling Cable Triceps Extension	Strength	Triceps	N/A	Cable	Isolation	Intermediate	Push
Kneeling Forearm Stretch	Stretching	Forearms	N/A	None	Isolation	Beginner	Static
Kneeling High Pulley Row	Strength	Lats	"Biceps,MiddleBack"	Cable	Compound	Beginner	Pull
Kneeling Hip Flexor	Stretching	Quadriceps	Quadriceps	None	Isolation	Beginner	Static
Kneeling Jump Squat	OlympicWeightlifting	Glutes	"Calves,Hamstrings,Quadriceps"	Barbell	Compound	Expert	Push
Kneeling Single-Arm High Pulley Row	Strength	Lats	"Biceps,MiddleBack"	Cable	Compound	Beginner	Pull
Kneeling Squat	Powerlifting	Glutes	"Abdominals,Hamstrings,LowerBack"	Barbell	Compound	Intermediate	Push
L-Sit Chin-Up	Strength	Lats	"Abdominals,Biceps,Forearms"	Other	Compound	Expert	Pull
Landmine 180's	Strength	Abdominals	"Glutes,LowerBack,Shoulders"	Barbell	Compound	Beginner	Pull
Landmine Linear Jammer	Strength	Shoulders	"Abdominals,Calves,Chest,Hamstrings,Quadriceps,Triceps"	Barbell	Compound	Intermediate	Push
Lateral Band Walk	Strength	Abductors	"Glutes,Quadriceps"	Bands	Compound	Beginner	Push
Lateral Bound	Plyometrics	Adductors	"Abductors,Calves,Glutes,Hamstrings,Quadriceps"	None	Compound	Beginner	Push
Lateral Box Jump	Plyometrics	Adductors	"Abductors,Calves,Glutes,Hamstrings,Quadriceps"	Other	Compound	Beginner	Push
Lateral Cone Hops	Plyometrics	Adductors	"Abductors,Calves,Glutes,Hamstrings,Quadriceps"	Other	Compound	Beginner	Push
Lateral Hop 4 Times To Sprint	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	N/A
Lateral Hop Holding Dumbbells	Plyometrics	Quadriceps	Calves	Dumbbell	Compound	Beginner	Push
Lateral Raise - With Bands	Strength	Shoulders	N/A	Bands	Isolation	Beginner	Push
Lateral Speed Step	Cardio	Quadriceps	"Calves,Hamstrings"	None	Compound	Beginner	Push
Latissimus Dorsi-SMR	Stretching	Lats	N/A	Foam Roll	Isolation	Beginner	Static
Leg Extensions	Strength	Quadriceps	N/A	Machine	Isolation	Beginner	Push
Leg Lift	Strength	Glutes	Hamstrings	None	Isolation	Beginner	Push
Leg Press	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Beginner	Push
Leg Pull-In	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Leg-Over Floor Press	Strength	Chest	"Shoulders,Triceps"	Kettlebells	Compound	Intermediate	Push
Leg-Up Hamstring Stretch	Stretching	Hamstrings	N/A	None	Isolation	Beginner	Push
Leverage Chest Press	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Leverage Deadlift	Strength	Quadriceps	"Glutes,Hamstrings"	Machine	Compound	Beginner	Pull
Leverage Decline Chest Press	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Leverage High Row	Strength	MiddleBack	Lats	Machine	Compound	Beginner	Pull
Leverage Incline Chest Press	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Leverage Iso Row	Strength	Lats	"Biceps,MiddleBack"	Machine	Compound	Beginner	Pull
Leverage Shoulder Press	Strength	Shoulders	Triceps	Machine	Compound	Beginner	Push
Leverage Shrug	Strength	Traps	Forearms	Machine	Isolation	Beginner	Pull
Linear 3-Part Start Technique	Plyometrics	Hamstrings	"Calves,Quadriceps"	None	Compound	Beginner	Push
Linear Acceleration Wall Drill	Plyometrics	Hamstrings	"Calves,Glutes,Quadriceps"	None	Compound	Beginner	N/A
Linear Depth Jump	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Other	Compound	Intermediate	Push
Log Lift	Strongman	Shoulders	"Abdominals,Chest,Glutes,Hamstrings,LowerBack,MiddleBack,Quadriceps,Traps,Triceps"	Other	Compound	Intermediate	Push
London Bridges	Strength	Lats	"Biceps,Forearms,MiddleBack"	Other	Compound	Intermediate	Pull
Looking At Ceiling	Stretching	Quadriceps	N/A	None	Isolation	Beginner	Static
Low Cable Crossover	Strength	Chest	Shoulders	Cable	Isolation	Beginner	Push
Low Cable Triceps Extension	Strength	Triceps	N/A	Cable	Isolation	Beginner	Push
Low Pulley Row To Neck	Strength	Shoulders	"Biceps,MiddleBack,Traps"	Cable	Compound	Beginner	Pull
Lower Back Curl	Stretching	Abdominals	N/A	None	N/A	Beginner	Static
Lower Back-SMR	Stretching	LowerBack	N/A	Foam Roll	N/A	Beginner	Static
Lunge Pass Through	Strength	Hamstrings	"Calves,Glutes,Quadriceps"	Kettlebells	Compound	Intermediate	Push
Lunge Sprint	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Intermediate	Push
Lying Bent Leg Groin	Stretching	Adductors	N/A	Other	N/A	Expert	Static
Lying Cable Curl	Strength	Biceps	N/A	Cable	Isolation	Intermediate	Pull
Lying Cambered Barbell Row	Strength	MiddleBack	"Biceps,Lats,Traps"	Barbell	Isolation	Beginner	Pull
Lying Close-Grip Bar Curl On High Pulley	Strength	Biceps	N/A	Cable	Isolation	Beginner	Pull
Lying Close-Grip Barbell Triceps Extension Behind The Head	Strength	Triceps	N/A	Barbell	Isolation	Intermediate	Push
